Counts per 10 Seconds,Time
2,2025-04-04 16:05:26.678105
4,2025-04-04 16:05:36.688294
5,2025-04-04 16:05:46.696001
4,2025-04-04 16:05:56.704075
2,2025-04-04 16:06:06.714366
2,2025-04-04 16:06:16.724695
4,2025-04-04 16:06:26.734964
1,2025-04-04 16:06:36.745209
2,2025-04-04 16:06:46.755520
4,2025-04-04 16:06:56.765834
2,2025-04-04 16:07:06.776104
2,2025-04-04 16:07:16.786321
