Counts per 10 Seconds,Time
4,2025-04-04 16:12:59.363979
3,2025-04-04 16:13:09.374165
1,2025-04-04 16:13:19.384041
0,2025-04-04 16:13:29.392935
0,2025-04-04 16:13:39.403310
0,2025-04-04 16:13:49.413621
2,2025-04-04 16:13:59.423977
0,2025-04-04 16:14:09.432028
1,2025-04-04 16:14:19.442331
4,2025-04-04 16:14:29.452620
1,2025-04-04 16:14:39.462933
2,2025-04-04 16:14:49.472052
