Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745015990.03,0,0,35.2,4.0,6.0,8.0,22.9762109375,49.22408840688224,1004.8067163226926,70.53445676441311,75980.0
1745015994.8,0,0,35.6,4.0,6.0,8.0,23.1236328125,49.97320498233562,1004.7922371030174,70.65582641112182,88548.6
1745015999.77,0,0,30.0,3.4,5.4,7.2,23.294179687499998,50.94507069786397,1004.8001275849911,70.58968572612704,100496.4
1745016004.75,0,0,34.2,3.4,5.4,7.2,23.3971875,49.04441630488384,1004.8166717117163,70.4510081631519,112884.6
1745016009.77,0,0,32.8,3.4,5.4,7.0,23.480039062499998,47.135641862966054,1004.8228101646342,70.39955440776654,120972.6
1745016014.74,0,0,32.4,3.4,5.4,7.0,23.4512890625,45.65333792715288,1004.8214857819739,70.41065564876241,127942.4
1745016019.77,0,0,31.0,3.0,4.6,6.2,23.3703125,44.76555784060242,1004.8132745108151,70.47948426250248,133432.4
1745016024.71,0,0,35.2,3.0,4.6,6.2,23.3703125,44.76555784060242,1004.8132745108151,70.47948426250248,133432.4
1745016029.76,0,0,30.0,3.0,4.0,4.4,23.319804687500003,44.188183971412606,1004.8087967012964,70.5170184120709,137360.0
1745016034.72,0,0,30.0,3.0,4.0,4.4,23.27734375,43.86655629937125,1004.8045774833585,70.55238511263845,140576.0
1745016039.78,0,0,31.8,3.0,4.0,5.0,23.2416796875,43.71838095478513,1004.7873177409405,70.6970626032456,143114.6
1745016044.74,0,0,34.0,3.0,4.0,5.0,23.21140625,43.70639411674103,1004.7747663319778,70.80227408301486,146197.2
1745016049.77,0,0,40.2,3.0,4.4,5.6,23.1626953125,43.69597476698324,1004.7862632314078,70.70590178755654,148687.6
1745016054.8,0,0,35.4,3.0,4.4,5.6,23.0873046875,43.69961172045198,1004.7880801167528,70.6906719315563,151762.2
1745016059.77,0,0,32.2,3.0,5.0,5.8,22.989062499999996,43.7299429644422,1004.7976685993945,70.61029761079809,153960.8
1745016064.74,0,0,39.4,3.0,5.0,5.8,22.87984375,43.8127329010998,1004.7839962255832,70.72490481301244,156558.0
1745016069.77,0,0,36.6,3.0,5.0,6.0,22.684609375,43.890661313079534,1004.7824087108227,70.7382120319088,158786.6
1745016074.74,0,0,34.2,3.0,5.0,6.0,22.39203125,44.093144661892396,1004.7805040963518,70.7541773817372,161169.4
1745016079.78,0,0,30.6,3.0,5.4,7.4,22.004453125,44.50033165168038,1004.765758527542,70.87778232374566,163045.2
1745016084.77,0,0,30.6,3.0,5.4,7.4,21.641796874999997,45.077944845645824,1004.7598651427788,70.92718406910662,164597.8
1745016089.74,0,0,30.6,3.0,5.8,7.8,21.388320312500003,45.74609999306486,1004.784813618089,70.71805315016789,165122.2
1745016094.74,0,0,31.6,3.0,5.8,7.8,21.2279296875,46.35931791499517,1004.7876162331597,70.69456034214035,165963.6
1745016099.77,0,0,30.0,3.0,5.0,7.0,20.994140625,46.82823975642923,1004.7794096334434,70.7633516855135,167827.0
1745016104.74,0,0,28.4,3.0,5.0,7.0,20.832578125000005,47.291869165705236,1004.7869281079813,70.70032853356886,168729.2
1745016109.75,0,0,31.4,3.0,5.0,7.0,20.736210937499997,47.697076784073296,1004.7898402980476,70.67591734521393,170455.8
1745016114.77,0,0,31.2,3.0,5.0,6.0,20.737226562500002,48.061176208213226,1004.7824226788334,70.7380950410869,167701.4
1745016119.79,0,0,30.6,3.0,5.0,6.0,20.814218750000002,48.453948109408344,1004.7858054247394,70.70973929886073,169342.6
1745016124.77,0,0,35.2,2.2,4.2,6.0,20.897109375,48.577801475583364,1004.7805955291271,70.75341101932382,171084.2
1745016129.75,0,0,29.0,2.2,4.2,6.0,20.9909765625,48.542859165592816,1004.7946001556151,70.63601840239544,171691.0
1745016134.77,0,0,30.4,2.0,4.6,6.0,20.895078125,48.29617822079009,1004.7903510708171,70.67163585381266,175935.8
1745016139.72,0,0,30.4,2.0,4.6,6.0,20.641875,48.13956288441242,1004.7938147190125,70.64260222989279,178393.2
1745016144.77,0,0,28.2,2.0,4.6,5.0,20.3862890625,48.29495030058898,1004.7895100150843,70.67868589197569,179116.4
1745016149.74,0,0,33.8,2.0,4.6,5.0,20.09296875,48.68474319616134,1004.807336645157,70.52925705525043,183663.4
1745016154.77,0,0,35.2,2.2,4.8,5.8,19.7580859375,49.25956061979271,1004.8579421022896,70.10507773819303,189548.4
1745016159.74,0,0,34.4,2.2,4.8,5.8,19.522460937499996,49.88317308351742,1004.9252213384441,69.5411632922808,189819.0
1745016164.74,0,0,32.8,3.0,5.0,6.0,19.522460937499996,49.88317308351742,1004.9252213384441,69.5411632922808,189819.0
1745016169.75,0,0,33.4,3.0,5.0,6.0,19.498593750000005,50.24442224213153,1004.9617326439429,69.23514891849207,190130.6
1745016174.79,0,0,31.6,2.0,4.6,5.6,19.50125,50.454231741756374,1004.8806412453247,69.91481711854127,190402.0
1745016179.74,0,0,34.4,2.0,4.6,5.6,19.496835937500002,50.63942726671529,1004.8043506888005,70.55428796667695,191074.8
