Counts per 10 Seconds,Time
1,2025-04-04 16:21:53.303819
0,2025-04-04 16:22:03.314224
0,2025-04-04 16:22:13.324576
0,2025-04-04 16:22:23.334847
0,2025-04-04 16:22:33.345064
0,2025-04-04 16:22:43.355362
2,2025-04-04 16:22:53.355769
2,2025-04-04 16:23:03.366148
0,2025-04-04 16:23:13.376461
3,2025-04-04 16:23:23.386734
0,2025-04-04 16:23:33.387335
1,2025-04-04 16:23:43.397575
