Counts per 10 Seconds,Time
0,2025-04-04 16:17:38.676065
0,2025-04-04 16:17:48.686477
1,2025-04-04 16:17:58.696691
0,2025-04-04 16:18:08.706996
2,2025-04-04 16:18:18.716009
1,2025-04-04 16:18:28.726300
0,2025-04-04 16:18:38.736623
2,2025-04-04 16:18:48.746930
1,2025-04-04 16:18:58.757244
1,2025-04-04 16:19:08.767552
0,2025-04-04 16:19:18.777864
1,2025-04-04 16:19:28.788134
