Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746229737.35,0,0,13.5,0.0,0.5,1.0,23.9938671875,55.360330003666824,1009.2105857342738,33.68529570299037,178042.0
1746229739.19,0,0,13.5,0.0,0.5,1.0,24.102265625,52.83155823474313,1008.9636924394949,35.74790755936053,91456.5
1746229741.21,0,0,18.0,0.0,0.5,1.0,24.4426953125,50.260564222483694,1008.2607934734863,41.62166633841689,11102.0
1746229743.24,0,0,23.0,0.0,0.0,1.0,24.7096875,49.85464824092355,1007.815850952936,45.34158719094988,19722.0
1746229745.22,0,0,26.5,0.0,0.0,1.0,24.89357421875,49.3961816470044,1007.5242736732318,47.780031022430364,29580.0
1746229747.27,0,0,26.5,0.0,1.0,1.0,25.0059765625,49.002608320939956,1007.2978071157784,49.67435856620416,37855.0
1746229749.21,0,0,31.5,0.0,1.0,1.0,25.1087109375,48.77249393762946,1007.1012009953408,51.31919764359333,46882.0
1746229751.25,0,0,21.0,0.0,1.0,1.0,25.18888671875,48.53979218629122,1006.9291062491186,52.75917925148765,55760.5
1746229753.22,0,0,24.5,0.0,1.0,1.0,25.253828125,48.31452656064364,1006.7636592205356,54.14372691448641,62936.5
1746229755.21,0,0,18.5,0.0,1.0,1.0,25.253828125,48.31452656064364,1006.7636592205356,54.14372691448641,62936.5
1746229757.19,0,0,18.5,0.0,1.0,1.0,25.3180859375,48.110611213893904,1006.6003783688082,55.51033056074248,70105.5
1746229759.24,0,0,25.5,0.0,1.0,1.0,25.371210937500003,47.91458112107544,1006.3862057434794,57.303149383796566,76483.5
1746229761.22,0,0,23.0,0.0,1.0,1.0,25.41330078125,47.765695804598536,1006.2243389208445,58.65832769498921,81892.0
1746229763.24,0,0,24.5,0.0,1.0,1.0,25.456953125,47.65032015197303,1006.0608996818689,60.02685107850044,87651.5
1746229765.2,0,0,24.5,0.0,1.0,1.0,25.501875,47.54723216400496,1005.890269017483,61.45577845745538,94106.5
1746229767.26,0,0,34.5,0.0,1.0,1.0,25.54171875,47.44658350155446,1005.7312292625915,62.78781454998394,100170.0
1746229769.22,0,0,31.5,0.0,1.0,1.0,25.57873046875,47.354677397744254,1005.5689513924565,64.14715109744836,105235.0
1746229771.24,0,0,30.5,0.0,1.0,1.0,25.6145703125,47.262662394143376,1005.4318691678185,65.29557015479932,110528.5
1746229773.21,0,0,23.5,0.0,1.0,1.0,25.6516796875,47.14976715516056,1005.3165584487782,66.26169502527921,114900.0
1746229775.24,0,0,23.5,0.0,0.5,1.0,25.68859375,47.070014848815305,1005.2400700737202,66.90259721458813,118912.5
1746229777.24,0,0,25.0,0.0,0.5,1.0,25.72365234375,47.0111265538522,1005.1867538353617,67.34936207892754,122325.0
1746229779.24,0,0,40.0,0.0,0.0,1.0,25.7591015625,46.96734248057855,1005.126437309111,67.85481019976575,125671.0
1746229781.21,0,0,15.5,0.0,0.0,1.0,25.79533203125,46.95675248904871,1005.0836495026236,68.21338293411469,128779.5
1746229783.22,0,0,15.5,0.0,0.0,1.0,25.834980468749997,46.99773522209276,1005.0970426035127,68.10114369158501,130922.0
1746229785.22,0,0,34.5,0.0,0.0,1.0,25.87267578125,47.13785546547045,1005.1010791477308,68.06731619742402,134767.5
1746229787.27,0,0,20.5,0.0,0.0,1.0,25.914082031249997,47.2273238814946,1005.1132495403642,67.9653252073058,137114.5
1746229789.21,0,0,26.0,0.0,0.0,1.0,25.9594921875,47.31130959174783,1005.132357585247,67.80519695890438,140491.0
1746229791.25,0,0,22.5,0.0,0.0,1.0,26.0016796875,47.23815526212681,1005.1441660638175,67.70624136972222,143573.5
1746229793.19,0,0,22.5,0.0,0.0,1.0,26.038203125,46.95655556273708,1005.0975707241867,68.0967185341793,146969.5
1746229795.25,0,0,22.5,0.0,0.0,1.0,26.072773437499997,46.633066944091425,1005.0987125574088,68.08714894124515,149640.0
1746229797.22,0,0,23.0,0.0,0.0,1.0,26.10763671875,46.457161407120026,1005.100356973867,68.0733682273198,150853.0
1746229799.24,0,0,29.0,0.0,0.0,1.0,26.1481640625,46.53416891824692,1005.1015886386065,68.06304661006388,151759.0
1746229801.16,0,0,29.0,0.0,0.0,1.0,26.1481640625,46.53416891824692,1005.1015886386065,68.06304661006388,151759.0
1746229803.24,0,0,28.0,0.0,0.0,1.0,26.19376953125,46.75008023061585,1005.1099125445955,67.99328998985217,153671.0
1746229805.24,0,0,22.5,0.0,0.0,1.0,26.24552734375,46.991146933971095,1005.1161076612661,67.94137365784117,154141.0
1746229807.26,0,0,27.5,0.0,0.0,0.0,26.299921875,47.33545116617165,1005.1345356661611,67.78694441574292,155018.0
1746229809.22,0,0,29.0,0.0,0.0,0.0,26.35421875,47.511215367847456,1005.1502266202172,67.65545392788303,158923.5
1746229811.21,0,0,29.0,0.0,0.0,0.0,26.408515625,47.22826503879297,1005.1497055546733,67.6598204916344,163930.0
1746229813.21,0,0,31.0,0.0,0.0,0.0,26.470234375,46.820216885610186,1005.1330419565502,67.79946194544105,167100.0
1746229815.25,0,0,30.0,0.0,0.0,0.0,26.52873046875,46.54777590888256,1005.1175958229312,67.92890251323993,169666.5
1746229817.22,0,0,29.0,0.0,0.0,0.0,26.58107421875,46.2180072346762,1005.0982924355229,68.09066977739866,172144.5
1746229819.24,0,0,33.5,0.0,0.0,0.0,26.6294140625,45.7626301257822,1005.0899478571272,68.1606001345144,174778.0
1746229821.2,0,0,33.5,0.0,0.0,0.0,26.66671875,45.29214691638336,1005.0855009046755,68.19786732259405,179209.0
