Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746225600.34,0,0,49.0,0.0,1.0,1.0,22.26544921875,50.81810651590166,1003.9055505438907,78.09102933211645,9527.5
1746225602.31,0,0,50.0,0.0,1.0,1.0,22.375703125,50.61186834717178,1003.9074571192368,78.07503627107624,16352.5
1746225604.33,0,0,50.0,0.0,1.0,1.0,22.45685546875,50.35328181253587,1003.9104158591576,78.05021739581261,22852.0
1746225606.31,0,0,53.0,0.0,1.0,1.0,22.5133984375,50.11020789293042,1003.9180285972826,77.98635936178478,28308.5
1746225608.34,0,0,36.5,0.0,1.0,1.0,22.553046875,49.96583846549865,1003.9250789693372,77.92721887333047,33040.0
1746225610.31,0,0,58.0,0.0,1.0,1.0,22.5723828125,49.791630456492356,1003.9332624727649,77.85857382748088,37296.0
1746225612.33,0,0,62.0,0.0,1.0,1.0,22.59376953125,49.59351193607617,1003.9407713592152,77.7955880881035,40945.0
1746225614.26,0,0,62.0,0.0,1.0,1.0,22.59376953125,49.59351193607617,1003.9407713592152,77.7955880881035,40945.0
1746225616.34,0,0,52.5,0.0,1.0,1.0,22.613203125,49.41357984933018,1003.960141374894,77.63311114483633,44369.5
1746225618.31,0,0,50.0,0.0,1.0,1.0,22.62091796875,49.25968105153808,1003.9820278677846,77.44952860662758,49483.5
1746225620.33,0,0,49.0,0.0,1.0,1.0,22.61701171875,49.11053603192697,1004.0091437098768,77.22208741198014,52444.5
1746225622.29,0,0,49.0,0.0,1.0,1.0,22.60373046875,48.99975165767272,1004.0301338899233,77.04602977374071,55712.0
1746225624.35,0,0,45.5,0.0,1.0,1.0,22.58244140625,48.918340327905156,1004.0490681797486,76.88721901105751,58470.5
1746225626.31,0,0,47.0,0.0,1.0,1.0,22.550800781249997,48.85688840878434,1004.0686495163657,76.72298377949363,61076.0
1746225628.34,0,0,38.5,0.0,1.0,1.0,22.506953125,48.81514920052092,1004.096664324701,76.488018552071,63124.0
1746225630.31,0,0,49.5,0.0,1.0,1.0,22.4532421875,48.78431643230402,1004.1168392979412,76.3188107008494,65579.5
1746225632.31,0,0,49.5,0.0,1.0,1.0,22.3923046875,48.76471008910927,1004.132905157522,76.18406797719669,68392.0
1746225634.32,0,0,42.5,0.0,1.0,1.0,22.335859375,48.78197169664992,1004.1499862631623,76.04081251396951,70967.5
1746225636.34,0,0,44.5,0.0,1.0,1.0,22.29474609375,48.8011218103793,1004.1759222237329,75.8232970768923,72965.5
1746225638.31,0,0,39.5,0.0,1.0,1.0,22.24953125,48.847007212078346,1004.2040326129668,75.5875507805574,75106.5
1746225640.34,0,0,54.0,0.0,1.0,1.0,22.20392578125,48.91404575167131,1004.2272152931334,75.39313408229117,77058.0
1746225642.29,0,0,54.0,0.0,1.0,1.0,22.1454296875,48.99768713663011,1004.2237271011506,75.42238685008311,79416.5
1746225644.34,0,0,50.5,0.0,1.0,1.0,22.08517578125,49.093263347790554,1004.2290244369017,75.3779622550773,81571.0
1746225646.31,0,0,35.0,0.0,1.0,1.0,22.027949218750003,49.20138101909815,1004.2200930618619,75.45286276124003,83152.0
1746225648.34,0,0,39.0,1.0,1.0,1.0,21.9762890625,49.31327479984627,1004.2081306360277,75.55318312925871,84859.0
1746225650.34,0,0,38.0,1.0,1.0,1.0,21.9169140625,49.43337432013605,1004.2089842896396,75.54602408503311,86860.0
1746225652.31,0,0,38.0,0.5,1.0,1.0,21.84708984375,49.52794835369026,1004.2085744424539,75.54946118530799,88467.0
1746225654.31,0,0,44.0,0.5,1.0,1.0,21.770234375,49.642958161635825,1004.1959085173933,75.6556823287179,90551.5
1746225656.34,0,0,57.5,0.0,1.0,1.0,21.70548828125,49.732169760773346,1004.1915950424575,75.69185698075017,94054.5
1746225658.31,0,0,47.5,0.0,1.0,1.0,21.64484375,49.82192595996909,1004.1876306605357,75.7251040964207,96680.5
1746225660.31,0,0,47.5,1.0,1.0,1.0,21.64484375,49.82192595996909,1004.1876306605357,75.7251040964207,96680.5
1746225662.31,0,0,56.0,1.0,1.0,1.0,21.59103515625,49.973426155274176,1004.184545694784,75.75097608358278,99008.5
1746225664.34,0,0,49.0,0.5,1.0,1.0,21.54435546875,50.22649240534826,1004.190470864851,75.70128482074853,100470.0
1746225666.31,0,0,56.5,0.5,1.0,1.0,21.51115234375,50.438800973022374,1004.1936098877662,75.67495961505104,102068.0
1746225668.34,0,0,56.5,0.0,1.0,1.0,21.489375000000003,50.35373066749109,1004.1870149868976,75.73026742606538,104137.0
1746225670.3,0,0,56.5,0.0,1.0,1.0,21.4739453125,50.75795768815357,1004.193159174908,75.67873959903551,105692.0
1746225672.35,0,0,59.0,0.0,1.0,1.0,21.465546875,50.9983457151623,1004.1802335822479,75.78713986577728,107491.5
1746225674.32,0,0,64.0,0.0,1.0,1.0,21.4571484375,50.499160076593085,1004.1275402618678,76.22906282120194,109149.0
1746225676.34,0,0,59.0,0.5,1.0,1.0,21.4493359375,50.51954392706588,1004.0657145829529,76.74760045246833,110721.0
1746225678.32,0,0,59.0,0.5,1.0,1.0,21.448847656250003,50.57137580145306,1004.0056372962925,77.25149822233303,112338.0
1746225680.32,0,0,59.0,1.0,1.0,1.0,21.4466015625,50.61078604389843,1003.9738070569654,77.51848391167485,113819.5
1746225682.31,0,0,70.5,1.0,1.0,1.0,21.446015625,50.69929101738454,1003.9533270581469,77.69026968867772,114780.0
1746225684.37,0,0,83.0,0.0,1.0,1.0,21.44318359375,50.76004510978616,1003.939937762943,77.80258041148286,116981.5
1746225686.31,0,0,83.5,0.0,1.0,1.0,21.44416015625,50.769336659153225,1003.9331761965841,77.85929754111405,118035.5
1746225688.35,0,0,83.5,0.0,1.0,1.0,21.449824218750003,50.79450213629575,1003.9303411343651,77.8830785979909,119391.5
1746225690.33,0,0,93.5,0.0,1.0,1.0,21.46330078125,50.83594252393905,1003.9267167956455,77.91348034753759,120735.5
1746225692.34,0,0,85.0,0.0,1.0,1.0,21.48087890625,50.83510074887919,1003.9217672304169,77.95499855685016,121816.5
1746225694.32,0,0,77.0,0.0,1.0,1.0,21.50021484375,50.83448091266419,1003.9266441124228,77.91409009191905,123215.5
1746225696.34,0,0,84.0,0.0,0.0,0.0,21.520625,50.8309392356341,1003.9325425574775,77.86461262465498,124650.0
1746225698.29,0,0,84.0,0.0,0.0,0.0,21.54376953125,50.81245516388271,1003.9211955179771,77.9597942874449,125532.5
1746225700.36,0,0,90.5,0.0,0.0,0.0,21.5659375,50.796906473264144,1003.9183012641646,77.9840720480133,126701.0
1746225702.31,0,0,87.5,0.0,0.0,0.0,21.58966796875,50.78767018944903,1003.9232009659446,77.94297199108456,127437.0
1746225704.35,0,0,78.5,0.0,0.0,0.0,21.614277343749997,50.77548762803253,1003.9296276647682,77.88906334271775,127254.5
1746225706.34,0,0,91.0,0.0,0.0,0.0,21.639667968749997,50.87961187634619,1003.9196380334333,77.97285885299337,125935.0
1746225708.26,0,0,91.0,0.0,0.0,0.0,21.639667968749997,50.87961187634619,1003.9196380334333,77.97285885299337,125935.0
1746225710.37,0,0,74.5,0.0,0.0,0.0,21.6653515625,51.11549830800098,1003.9220039176532,77.95301314454348,126929.0
1746225712.31,0,0,86.0,0.0,0.0,0.0,21.68859375,51.35751970618164,1003.9201196228632,77.96881912407729,128170.5
1746225714.34,0,0,80.5,0.0,0.0,0.0,21.71056640625,51.5628643346101,1003.9160241454995,78.00317326931007,129295.0
1746225716.29,0,0,80.5,0.0,0.0,0.0,21.736347656249997,51.704393804548374,1003.9160124962293,78.00327090832589,130728.0
1746225718.34,0,0,86.5,0.0,0.0,0.0,21.76310546875,51.81848926354644,1003.9176967383426,77.98914299141687,131898.0
1746225720.32,0,0,81.0,0.0,0.0,0.0,21.78830078125,51.935543535577786,1003.9158133029541,78.00494185989828,133797.5
1746225722.34,0,0,76.5,0.0,0.0,0.0,21.80998046875,51.95987005892603,1003.9179704122259,77.98684732919224,136901.0
1746225724.32,0,0,89.5,0.0,0.0,0.0,21.8346875,51.824602709565475,1003.9236983775147,77.9387995913958,139830.5
1746225726.35,0,0,89.5,0.0,0.0,0.0,21.85861328125,51.627863716481066,1003.9204453041834,77.96608723789045,140378.0
1746225728.31,0,0,74.0,0.0,0.0,0.0,21.88263671875,51.4252040601577,1003.9156660007872,78.0061774144142,143164.5
1746225730.36,0,0,68.5,0.0,0.0,0.0,21.908515625,51.23525441658603,1003.921731510847,77.95529823704572,144742.5
1746225732.32,0,0,73.0,0.0,0.0,0.0,21.93302734375,51.07900966639753,1003.9550524744689,77.67579685672004,144464.5
1746225734.35,0,0,69.5,0.0,0.0,0.0,21.95451171875,50.94393648094352,1003.963631866216,77.6038327278097,146359.5
1746225736.31,0,0,69.5,0.0,0.0,0.0,21.97990234375,50.82168476865918,1003.9654552258312,77.58853847309214,146303.5
1746225738.33,0,0,75.0,0.0,0.0,0.0,22.00568359375,50.74542415452604,1003.9781173242437,77.4823296520324,146481.0
1746225740.32,0,0,68.5,0.0,0.0,0.0,22.03048828125,50.696580132390565,1003.9755290062044,77.50404019073969,147708.0
1746225742.34,0,0,102.0,0.0,0.0,0.0,22.0528515625,50.711637429625014,1003.9737731656053,77.5187680018509,148759.5
1746225744.3,0,0,102.0,0.0,0.0,0.0,22.07453125,50.735784794727735,1003.9742137678872,77.51507226778351,147769.0
1746225746.33,0,0,80.0,0.0,0.0,0.0,22.10041015625,50.72682756138275,1003.9675569575279,77.57090917976777,149138.5
1746225748.31,0,0,72.0,0.0,0.0,0.0,22.126484375,50.70872165578312,1003.9705532037169,77.54577682622582,150087.0
1746225750.34,0,0,69.5,0.0,0.0,0.0,22.151484375000003,50.690481319922796,1003.973372727859,77.52212684010586,151828.0
1746225752.31,0,0,73.0,0.0,0.0,0.0,22.176777343749997,50.68450937316831,1003.9716167277692,77.53685603892896,151890.5
1746225754.34,0,0,73.0,0.0,0.0,0.0,22.201484375,50.66929104043217,1003.9713801771618,77.53884021217385,152875.5
1746225756.28,0,0,67.0,0.0,0.0,0.0,22.201484375,50.66929104043217,1003.9713801771618,77.53884021217385,152875.5
1746225758.34,0,0,61.0,0.0,0.0,0.0,22.2255078125,50.644815352546814,1003.9758820831971,77.50107859398867,153938.0
1746225760.34,0,0,70.0,0.0,0.0,0.0,22.24865234375,50.641629920616516,1003.964451705183,77.59695600448991,153872.5
1746225762.35,0,0,66.0,0.0,0.0,0.0,22.270136718750003,50.63517738486505,1003.9535203170258,77.68864858305989,154341.5
1746225764.3,0,0,66.0,0.0,0.0,0.0,22.29416015625,50.64127630310596,1003.9520841981862,77.70069482237352,152885.5
1746225766.39,0,0,75.5,0.0,0.0,0.0,22.31876953125,50.70860987759792,1003.946580585201,77.74685965040543,151434.5
1746225768.32,0,0,72.5,0.0,0.0,0.0,22.3426953125,50.7942490280448,1003.9398854712426,77.80301900537918,149767.0
1746225770.34,0,0,76.0,0.0,0.0,0.0,22.36662109375,50.90442513430682,1003.9391184265105,77.80945311159104,149515.5
1746225772.29,0,0,76.0,0.0,0.0,0.0,22.3915234375,51.01786311045258,1003.9349625660336,77.84431313401393,150729.0
1746225774.34,0,0,71.5,0.0,0.0,0.0,22.4145703125,51.10661622396003,1003.9250357546377,77.92758135237622,153073.0
1746225776.31,0,0,63.0,0.0,0.0,0.0,22.43830078125,51.174037676364435,1003.925615732349,77.9227163386372,154611.5
1746225778.35,0,0,63.0,0.0,0.0,0.0,22.463203125,51.23550072605497,1003.9129765355447,78.02873754668035,157433.5
1746225780.32,0,0,79.5,0.0,0.0,0.0,22.48703125,51.238549385315,1003.923890473111,77.9371882531018,158277.5
1746225782.32,0,0,79.5,0.0,0.0,0.0,22.51046875,51.217005018137485,1003.9298860770582,77.88689571160666,160140.5
1746225784.31,0,0,74.5,0.0,0.0,0.0,22.533515625,51.14940644634311,1003.92757285282,77.90629954902414,162047.5
1746225786.34,0,0,67.5,0.0,0.5,0.5,22.55900390625,51.033094469511326,1003.9311960550699,77.87590737074615,161973.5
1746225788.32,0,0,65.5,0.0,0.5,0.5,22.5844921875,50.9199144663624,1003.9399022086525,77.8028786093681,163171.0
1746225790.34,0,0,88.0,0.0,1.0,1.0,22.609296875,50.82507825090988,1003.9448751372486,77.76116517289128,163926.0
1746225792.3,0,0,88.0,0.0,1.0,1.0,22.633125,50.72098344509771,1003.9625585145884,77.6128359735594,164995.5
1746225794.35,0,0,65.5,0.0,0.0,0.0,22.658125,50.632383014031724,1003.966171405543,77.58253120025137,165458.5
1746225796.31,0,0,76.0,0.0,0.0,0.0,22.68439453125,50.565382211585145,1003.9677496470168,77.56929289080279,163930.0
1746225798.34,0,0,78.0,0.0,0.5,0.5,22.7087109375,50.531779313657246,1003.968473656834,77.56321993461262,164077.5
1746225800.32,0,0,64.0,0.0,0.5,0.5,22.73439453125,50.50141177649222,1003.9724190559455,77.53012616603523,164153.5
1746225802.31,0,0,64.0,0.0,1.0,1.0,22.76251953125,50.48663927188029,1003.9789092970119,77.47568665696636,165074.0
1746225804.33,0,0,59.0,0.0,1.0,1.0,22.789375,50.46559415724316,1003.9857338572798,77.41844321908118,165770.5
1746225806.31,0,0,74.5,0.0,1.0,1.0,22.789375,50.46559415724316,1003.9857338572798,77.41844321908118,165770.5
1746225808.31,0,0,72.5,0.0,1.0,1.0,22.81447265625,50.45960826726531,1003.9835655366373,77.43663074541087,165846.5
1746225810.32,0,0,72.5,0.0,1.0,1.5,22.838203125,50.44428131898769,1003.993433218257,77.35386248005673,166003.5
1746225812.31,0,0,72.5,0.0,1.0,1.5,22.86369140625,50.435290227131134,1003.9919383694369,77.36640093054689,167337.0
1746225814.36,0,0,78.0,0.0,1.0,2.0,22.888203125,50.41089576722079,1003.9861995534951,77.41453704868212,167574.5
1746225816.32,0,0,85.0,0.0,1.0,2.0,22.91232421875,50.383399411479274,1004.0069159053173,77.2407732517521,168133.5
1746225818.34,0,0,80.0,0.0,2.0,2.0,22.9409375,50.33814711461291,1004.0074510857482,77.23628428963053,169339.0
1746225820.33,0,0,80.0,0.0,2.0,2.0,22.970625,50.2594484932941,1004.0013682688874,77.28730520161412,170976.5
1746225822.35,0,0,69.5,0.0,1.5,2.0,22.99923828125,50.20201119139867,1004.0044403377053,77.26153755319106,171807.0
1746225824.32,0,0,75.0,0.0,1.5,2.0,23.02619140625,50.14437666977592,1004.0020799052717,77.28133618091508,171640.0
1746225826.31,0,0,80.5,0.0,1.5,2.0,23.05275390625,50.09281124448274,1004.0015819598398,77.28551280173096,173577.5
1746225828.32,0,0,80.5,0.0,1.0,2.0,23.08029296875,50.032230175563015,1004.0019293075668,77.28259934408513,173322.0
1746225830.32,0,0,67.5,0.0,1.0,2.0,23.108515625000003,49.96260600984543,1003.9958263928316,77.33378904001567,174864.5
1746225832.34,0,0,73.0,0.0,1.0,2.0,23.13498046875,49.862306466185146,1003.9909071143243,77.37505088192142,174864.5
