Counts per 10 Seconds,Time
1,2025-04-04 16:01:49.460019
2,2025-04-04 16:01:59.470329
0,2025-04-04 16:02:09.479987
1,2025-04-04 16:02:19.490225
7,2025-04-04 16:02:29.500512
1,2025-04-04 16:02:39.510808
4,2025-04-04 16:02:49.521107
5,2025-04-04 16:02:59.531387
3,2025-04-04 16:03:09.541748
3,2025-04-04 16:03:19.552062
2,2025-04-04 16:03:29.562382
3,2025-04-04 16:03:39.572668
