Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746227170.4,0,0,35.5,0.0,1.0,1.0,23.7434765625,45.23349881976434,1005.9280280383664,61.139545948211804,247909.5
1746227172.33,0,0,39.5,0.0,1.0,1.0,24.29533203125,47.004891393027826,1006.1928023575464,58.922391820587315,11882.0
1746227174.36,0,0,34.5,0.0,1.0,1.0,24.86408203125,46.66578983892459,1006.4333749345117,56.90827490852111,24494.5
1746227176.29,0,0,34.5,0.0,1.0,1.0,25.210078125000003,46.24020812423521,1006.5735571454728,55.73482805705998,37650.0
1746227178.39,0,0,34.5,0.0,1.0,1.0,25.41291015625,45.938586377332285,1006.6468140195311,55.121656717038576,51089.5
1746227180.31,0,0,47.5,0.0,1.0,1.0,25.5212109375,45.70960620765011,1006.6859856359036,54.79380015208183,62385.5
1746227182.34,0,0,40.5,0.0,1.0,1.0,25.5841015625,45.50824545447406,1006.7049862628828,54.63477313668571,72559.0
1746227184.31,0,0,41.0,0.0,1.0,1.0,25.6243359375,45.298424784852905,1006.7144209245939,54.55581018647639,81449.5
1746227186.34,0,0,41.0,0.0,1.0,1.0,25.63810546875,45.03809373502962,1006.7119405703302,54.576569331685576,90173.0
1746227188.34,0,0,43.0,0.0,1.0,1.0,25.63361328125,44.811613960643044,1006.7228738218637,54.48506457875844,100054.5
1746227190.34,0,0,43.0,0.0,1.0,1.0,25.61076171875,44.75544299991754,1006.7197947992945,54.510834073699,107253.0
1746227192.31,0,0,34.5,0.0,1.0,1.0,25.58634765625,44.752558445157,1006.7208121152196,54.50231983355255,114047.0
1746227194.36,0,0,46.5,0.0,1.0,1.0,25.570917968750003,44.85767564296257,1006.7195529264151,54.51285838286471,119529.5
1746227196.26,0,0,46.5,0.0,1.0,1.0,25.570917968750003,44.85767564296257,1006.7195529264151,54.51285838286471,119529.5
1746227198.37,0,0,52.0,0.0,1.0,1.0,25.556171875,44.95103590685527,1006.7271448473211,54.449318857838755,125412.0
1746227200.31,0,0,41.0,0.0,1.0,1.0,25.526874999999997,45.00108334547922,1006.7256327515796,54.461974110784226,130833.5
1746227202.33,0,0,39.0,0.0,1.0,1.0,25.503046875,44.992311347764385,1006.7251040594033,54.46639891074014,135495.0
1746227204.3,0,0,39.0,0.0,1.0,1.0,25.47990234375,44.89147946978379,1006.7163941185647,54.53929573495954,140945.0
1746227206.34,0,0,38.0,1.0,2.0,2.0,25.45431640625,44.75775863662627,1006.7042914692993,54.64058820683226,146124.5
1746227208.32,0,0,35.0,1.0,2.0,2.0,25.42462890625,44.60883719727823,1006.6961282666651,54.70891026638995,150799.5
1746227210.34,0,0,38.5,1.0,1.5,1.5,25.38947265625,44.45052642534713,1006.6895268098854,54.76416159968426,155567.0
1746227212.31,0,0,41.0,1.0,1.5,1.5,25.351875,44.274325622849815,1006.6880426917121,54.776583065953886,159422.5
1746227214.33,0,0,41.0,1.0,1.0,1.0,25.31525390625,44.13393010839436,1006.6882495410673,54.7748518259481,162124.0
1746227216.31,0,0,49.0,1.0,1.0,1.0,25.2825390625,44.13307442664484,1006.6960905689702,54.70922581332057,163925.5
1746227218.36,0,0,35.5,1.0,1.0,1.0,25.2551953125,44.23047286223549,1006.6970880928766,54.700876961346914,166946.5
1746227220.31,0,0,42.5,1.0,1.0,1.0,25.23205078125,44.30176070980758,1006.6960175349263,54.70983706624952,169017.5
